"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts"
"247",47,100,0.4,0.5,0,0.541,0.541,9359.015625,0.0984290147401086,6
"248",48,100,0.4,0.5,0,-0.228,0.228,9672.09375,0.102924704418171,7
"249",49,100,0.4,0.5,0,0.108,0.108,9527.75,0.130676357520423,10
"250",50,100,0.4,0.5,0,0.038,0.038,9568.1796875,0.108197932053176,8
"251",51,100,0.4,0.5,0,0.696,0.696,9292.203125,0.17441717791411,6
"252",52,100,0.4,0.5,0,0.657,0.657,9309.78125,0.13729533423612,8
"253",53,100,0.4,0.5,0,-0.229,0.229,9670.0625,0.104741170778907,6
"254",54,100,0.4,0.5,0,0.0669999999999999,0.0669999999999999,9544.09375,0.136521157587549,12
"255",55,100,0.4,0.5,0,0.929,0.929,9199.8515625,0.146435884310212,12
"256",56,100,0.4,0.5,1,-0.982,0.982,9992.75,0.117454375292466,0
"257",57,100,0.4,0.5,0,-0.352,0.352,9717.953125,0.0956638902498775,7
"258",58,100,0.4,0.5,0,-0.414,0.414,9748.4375,0.11011071906558,7
"259",59,100,0.4,0.5,0,-0.072,0.072,9602.8125,0.154869387263753,10
"260",60,100,0.4,0.5,0,-0.631,0.631,9836.875,0.076287657920311,6
"261",61,100,0.4,0.5,0,-0.153,0.153,9638.625,0.175523160122267,6
"262",62,100,0.4,0.5,0,-0.003,0.003,9573.953125,0.119012345679012,10
"263",63,100,0.4,0.5,1,-0.831,0.831,9927.3125,0.09070528356762,0
"264",64,100,0.4,0.5,0,0.367,0.367,9415.1875,0.0971273095418881,10
"265",65,100,0.4,0.5,0,-0.408,0.408,9746.15625,0.0967976710334789,12
"266",66,100,0.4,0.5,0,0.733,0.733,9264.5,0.090821965945756,13
"267",67,100,0.4,0.5,0,0.869,0.869,9218.28125,0.105339852984035,12
"268",68,100,0.4,0.5,0,0.243,0.243,9465.59375,0.150670731707317,8
"269",69,100,0.4,0.5,0,0.157,0.157,9508.25,0.1844648465813,11
"270",70,100,0.4,0.5,0,1.228,1.228,9082.578125,0.170308202050513,5
"271",71,100,0.4,0.5,0,-0.52,0.52,9788.90625,0.0545070772287062,7
"272",72,100,0.4,0.5,0,-0.112,0.112,9620.0625,0.0927994076633553,14
"273",73,100,0.4,0.5,0,-0.577,0.577,9817.5,0.110374230222643,7
"274",74,100,0.4,0.5,0,-0.225,0.225,9672.34375,0.135011990407674,6
"275",75,100,0.4,0.5,0,0.002,0.002,9568.125,0.166042001308823,11
"276",76,100,0.4,0.5,0,0.0469999999999999,0.0469999999999999,9548.34375,0.079864593781344,9
"277",77,100,0.4,0.5,0,-0.416,0.416,9750.21875,0.0815319978079523,5
"278",78,100,0.4,0.5,0,0.915,0.915,9195.640625,0.178095179838512,6
"279",79,100,0.4,0.5,0,1.04,1.04,9163.578125,0.203621638141809,8
"280",80,100,0.4,0.5,0,0.0580000000000001,0.0580000000000001,9551.28125,0.0927796011108306,9
"281",81,100,0.4,0.5,0,0.631,0.631,9313.28125,0.131931881978666,5
"282",82,100,0.4,0.5,0,-0.143,0.143,9635.25,0.13421630859375,7
"283",83,100,0.4,0.5,0,0.374,0.374,9413.5,0.109144171102781,12
"284",84,100,0.4,0.5,0,0.293,0.293,9459.625,0.139587959536146,8
"285",85,100,0.4,0.5,0,-0.171,0.171,9646.84375,0.1239013671875,6
"286",86,100,0.4,0.5,0,-0.213,0.213,9665.15625,0.102183513248283,7
