"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","",""
"236",1000,0.3,0,0,56,110,110,110,109,110,110,110,110,110,110,110,22,22,110,109,110,110,110,110
"237",1000,0.3,0,0,56,110,110,110,110,109,109,109,110,110,110,110,110,110,110,110,14,110,18,18
"238",1000,0.3,0,0,58,109,110,110,110,110,110,110,110,110,110,25,19,110,110,110,110,110,110,110
"239",1000,0.3,0,0,78,78,110,110,110,110,20,20,110,110,110,110,110,109,110,110,110,110,110,110
"240",1000,0.3,0,0,59,110,110,110,110,109,110,110,110,110,110,109,110,109,109,110,110,110,110,110
"241",1000,0.3,0.1,1,61,110,110,110,110,110,110,110,27,27,27,130,110,110,109,110,0,0,0,0
"242",1000,0.3,0.1,0,44,110,110,120,110,110,110,110,110,27,27,27,130,110,110,110,110,109,109,109
"243",1000,0.3,0.1,0,70,70,70,130,110,110,110,110,110,120,120,120,120,120,150,150,150,14,14,120
"244",1000,0.3,0.1,1,54,110,109,109,120,110,110,110,120,110,110,110,110,110,110,110,110,110,0,0
"245",1000,0.3,0.1,0,58,110,110,110,110,110,110,120,110,110,110,110,110,110,150,150,150,13,110,110
"246",1000,0.3,0.1,0,53,110,110,120,110,110,110,120,110,109,110,110,110,110,110,110,110,110,110,120
"247",1000,0.3,0.1,0,52,110,109,110,109,110,110,110,110,110,109,109,120,110,110,120,110,110,109,110
"248",1000,0.3,0.1,0,64,110,109,109,120,120,120,120,120,120,28,20,20,120,120,120,110,110,109,110
"249",1000,0.3,0.1,1,47,47,120,110,110,110,120,110,110,109,110,109,110,110,110,110,0,0,0,0
