"","budget","at","bb","extinct","","","","","","","","","","","","","","","","","","","","","","",""
"193",1000,0.2,0.7,0,1500,1000,700,60,110,110,110,110,110,110,110,110,110,110,110,110,22,35,35,35,250,250,250
"194",1000,0.2,0.7,0,1500,1000,700,53,110,109,110,110,110,109,110,110,110,110,110,110,110,110,110,110,110,110,110
"195",1000,0.2,0.7,0,1500,1000,700,59,110,110,110,110,110,110,110,110,36,36,36,36,36,378,378,378,378,24,24
"196",1000,0.2,0.7,0,1500,1000,700,71,110,110,110,110,110,110,110,110,110,35,35,35,35,320,320,320,320,23,23
"197",1000,0.2,0.7,0,1500,1000,700,55,110,110,110,110,110,37,37,37,37,314,314,314,41,41,41,41,41,362,362
"198",1000,0.2,0.7,0,1500,1000,700,61,110,109,110,110,110,110,110,110,110,59,25,25,25,250,110,110,110,110,110
"199",1000,0.2,0.7,0,1500,1000,700,55,110,110,110,110,110,110,110,78,21,21,180,180,180,180,24,24,180,180,180
"200",1000,0.2,0.7,0,1500,1000,700,58,109,110,110,110,110,110,109,110,110,110,110,110,110,110,110,110,28,30,30
"201",1000,0.2,0.8,0,1500,1000,700,54,110,110,110,110,110,110,110,51,29,29,29,29,345,110,110,110,110,110,110
"202",1000,0.2,0.8,0,1500,1000,700,52,110,110,110,110,110,110,110,110,110,110,107,19,19,190,109,110,110,110,110
"203",1000,0.2,0.8,0,1500,1000,700,84,110,110,110,109,109,109,109,109,109,109,109,25,25,25,268,110,110,110,109
"204",1000,0.2,0.8,0,1500,1000,700,55,110,110,110,110,110,110,110,110,110,110,110,110,120,15,15,190,110,110,110
"205",1000,0.2,0.8,0,1500,1000,700,55,110,110,110,110,110,110,110,52,30,30,30,269,269,269,31,31,31,270,110
"206",1000,0.2,0.8,0,1500,1000,700,64,110,110,190,190,190,190,22,22,22,270,110,110,110,110,110,110,110,110,109
"207",1000,0.2,0.8,0,1500,1000,700,74,110,110,110,110,110,110,110,110,97,19,19,190,110,110,110,110,110,110,110
"208",1000,0.2,0.8,0,1500,1000,700,70,110,110,109,109,109,109,109,47,36,36,36,36,36,372,372,372,372,19,19
"209",1000,0.2,0.8,0,1500,1000,700,62,110,110,110,110,110,110,110,110,110,110,110,110,53,25,25,25,268,110,109
"210",1000,0.2,0.8,0,1500,1000,700,51,110,109,109,109,109,109,109,91,23,23,23,268,110,109,110,110,110,110,110
"211",1000,0.2,0.9,0,1500,1000,700,67,110,109,110,110,110,109,109,109,109,109,109,109,117,19,19,198,198,198,198
"212",1000,0.2,0.9,0,1500,1000,700,57,110,109,110,110,110,110,110,110,110,101,17,17,200,110,110,110,110,110,109
"213",1000,0.2,0.9,0,1500,1000,700,69,110,109,110,110,110,110,110,109,110,110,110,110,110,109,110,109,110,110,110
"214",1000,0.2,0.9,0,1500,1000,700,51,110,110,110,110,109,110,110,110,110,110,110,110,112,18,18,200,110,110,110
"215",1000,0.2,0.9,0,1500,1000,700,46,110,110,110,109,110,110,110,110,110,110,110,101,19,19,199,110,110,110,197
"216",1000,0.2,0.9,0,1500,1000,700,56,110,110,110,110,110,110,110,110,110,110,110,110,102,18,18,200,110,109,110
"217",1000,0.2,0.9,0,1500,1000,700,63,110,110,110,110,109,110,110,110,110,197,197,197,197,197,75,17,17,199,110
