"Fitness_calls","Mean_Fitness","LCI","UCI"
300,9616832.74445543,9198208.16518397,9849022.32626324
302,9614232.84153543,9198852.33755155,9843400.1634637
304,9613672.42139287,9197373.55313597,9846761.60558402
306,9613957.58237976,9181640.04036698,9846150.67021034
308,9616984.9843146,9211598.41086098,9845180.27979278
310,9616046.35540508,9182671.90141742,9845494.04207161
312,9615160.87639666,9202506.98283949,9839550.62108948
314,9614863.23955645,9212737.92978537,9845173.45470046
316,9616558.61575073,9192973.13844725,9840817.58450772
318,9616578.53479904,9219765.88056366,9843287.89130853
320,9615893.63800326,9211749.88075266,9845886.60605897
322,9611302.62273251,9170518.78061403,9845480.31159157
324,9616437.73069997,9212954.03623405,9843767.30256037
326,9614976.90521498,9219043.0721869,9845863.5452144
328,9617682.10297168,9195163.7668317,9846156.92388784
330,9613924.87232595,9201421.52062652,9845594.3901205
332,9617984.20959627,9205059.55787196,9847652.74595462
334,9617054.91347745,9208721.73056774,9844851.80399282
336,9618126.05583839,9214905.20372984,9847554.46865687
338,9615270.35293514,9199151.8346131,9845923.33313128
340,9614127.9936383,9179097.71874424,9841197.50901696
342,9616268.99887657,9205760.10694174,9842571.12283614
344,9616266.08797186,9206926.65438317,9846642.74635448
346,9617157.76725296,9186810.11677665,9844263.96810036
348,9615694.73946875,9102165.94696445,9845181.46167912
350,9616263.05996288,9210143.56671901,9844889.99301694
352,9616764.94033031,9205755.75076243,9844580.33551999
354,9614251.11691098,9198341.6460858,9840994.12501928
356,9617075.8763138,9188255.96206851,9845008.38518396
358,9615968.77099746,9204366.61543775,9841502.37662755
360,9614825.29496741,9198124.83669654,9846798.83724952
362,9615500.35207736,9204960.89916543,9842195.34275466
364,9615692.82225475,9174211.19919894,9844404.69551579
366,9614467.34699056,9191268.53776037,9841825.77892463
368,9615758.3871989,9212562.64485518,9844671.415822
370,9613176.52082395,9188108.17914858,9844899.11784914
372,9617595.6670258,9221892.39910989,9846417.94391579
374,9615809.51119582,9206578.64198408,9844260.71766252
376,9615857.75174717,9211537.93600495,9842480.11149518
378,9615493.83735133,9213026.71768343,9843327.63079635
380,9615910.92340909,9197608.36037057,9842284.03466467
382,9614819.87362698,9218851.45840209,9843585.44596349
384,9615426.65380824,9192803.0802269,9844087.47148787
386,9615879.90613314,9212447.30613092,9846551.1839351
388,9614166.18597466,9196322.05180448,9843825.2033141
390,9616488.44166855,9190341.51241602,9840402.34215561
392,9613387.7159161,9209367.00821793,9844293.58257336
394,9616822.29145089,9228536.19028333,9843025.34502424
396,9614986.29761939,9213469.25393912,9846033.98150035
398,9615849.15883745,9215875.32348825,9842379.53595409
400,9614630.29253535,9084313.7995132,9842613.03478026
402,9614878.58059544,9204723.25685903,9840882.50302387
404,9614562.11179582,9195482.08924802,9843973.8543101
406,9610644.02878982,9192997.13715586,9841523.06268247
408,9613693.09574679,9191553.70844497,9840408.43003266
410,9614271.36772631,9209298.31754771,9841072.38591061
412,9615784.51857885,9202311.57292839,9842180.19870693
414,9616113.26714491,9205707.15901898,9846031.0287391
416,9616482.16384786,9212267.67573561,9843024.31266694
418,9614851.17603307,9064152.7556873,9845868.37689256
420,9615052.38350799,9216046.99886017,9843125.67824406
422,9613661.31917151,9149413.53729761,9843361.59002773
