"Fitness_calls","Mean_Fitness","LCI","UCI"
555,9793947.1403355,9733338.25916412,9848201.98249737
557,9793678.14361262,9727523.16563613,9849778.09701234
559,9792693.66326508,9732332.4260448,9844750.53635117
561,9794543.76487981,9735843.52571487,9849380.73662314
563,9793598.67475684,9733649.34235051,9847704.6845017
565,9792609.80664331,9733771.45033771,9844920.8414501
567,9794695.71459501,9736297.59986552,9846947.64281356
569,9794072.66299677,9735083.5706034,9846558.544312
571,9793951.04405908,9732383.62067831,9843843.80111502
573,9793453.68460903,9735139.41895714,9843042.29434886
575,9793728.01131437,9731624.08128197,9848750.47580634
577,9793458.57130726,9736946.9990594,9843830.98152108
579,9794351.74031664,9735825.7107647,9847059.5783988
581,9791640.30097096,9737031.96136123,9850217.86301226
583,9794487.05683234,9736109.52562758,9844846.03278298
585,9793732.49715461,9732631.04835062,9846123.32865972
587,9793868.19748057,9733661.83203654,9847456.35972629
589,9793140.26749461,9734651.72400664,9846124.85394597
591,9793981.23092442,9731839.95143236,9849077.02691228
593,9794383.61571989,9732703.82245835,9848145.2097486
595,9792953.86124974,9731974.99272827,9843101.58847347
597,9792726.29991189,9738616.57683233,9845541.95287869
599,9793181.2655232,9731205.62738897,9848450.47523169
601,9794115.88939076,9732100.40698755,9845749.90173063
603,9792387.02045118,9730343.24226318,9845704.97607854
605,9793092.50273982,9738803.08294381,9847901.08783046
607,9793490.89806786,9742071.73716903,9844205.74063503
609,9792462.99372143,9738365.88299383,9843447.42229882
611,9792968.93280511,9737666.83129078,9846294.00905944
613,9791343.9748013,9731343.01702292,9841817.26541006
615,9793024.42931728,9741479.58270231,9848828.75608109
617,9793707.10834802,9737284.34104005,9845511.96027306
619,9793270.94414823,9734929.22431587,9845305.4883246
621,9793827.85606962,9731147.31057034,9848473.44193419
623,9793438.86436081,9734794.06614751,9850371.51127477
625,9794146.34131942,9736230.9769324,9844013.83820572
627,9793047.33945417,9730824.11013174,9844876.83646812
629,9794109.92013172,9738953.87852429,9847074.09309552
631,9793207.25143853,9732144.0470414,9847945.73420902
633,9793654.32450833,9733264.34604379,9845376.01213337
