"","case_nb","popinit","K","MT","nb_stkh","at","bb","extinct","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"151",31,8885,14355,10014,7,0,0.5,0,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"152",31,8885,14355,10014,7,0.1,0.5,0,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"153",31,8885,14355,10014,7,0.433493109646495,0.5,0,16,16,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"154",31,8885,14355,10014,7,0.7,0.5,0,18,18,18,18,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"155",31,8885,14355,10014,7,1,0.5,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"156",32,5527,5675,4610,41,0,0.5,0,14,31,9,31,9,28,15,23,15,35,30,10,14,28,9,9,28,40,16,18
"157",32,5527,5675,4610,41,0.1,0.5,0,20,33,25,9,9,9,58,9,9,9,38,9,9,21,32,9,19,33,33,33
"158",32,5527,5675,4610,41,0.231019522776573,0.5,0,14,14,43,43,43,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"159",32,5527,5675,4610,41,0.7,0.5,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"160",32,5527,5675,4610,41,1,0.5,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"161",33,4637,2687,2181,44,0,0.5,1,16,21,9,9,9,11,9,9,12,9,9,9,9,9,9,9,9,9,9,0
"162",33,4637,2687,2181,44,0.1,0.5,0,16,16,9,9,9,6,6,14,13,13,15,9,9,9,9,6,9,9,9,9
"163",33,4637,2687,2181,44,0.232003668042182,0.5,1,13,13,13,13,13,13,13,13,2,9,9,9,9,9,9,9,9,0,0,0
"164",33,4637,2687,2181,44,0.7,0.5,1,17,17,17,17,17,17,2,9,0,0,0,0,0,0,0,0,0,0,0,0
"165",33,4637,2687,2181,44,1,0.5,1,18,18,18,18,18,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",34,1267,3361,2571,8,0,0.5,0,21,9,9,9,9,9,9,27,100,33,100,52,100,58,41,100,100,100,20,100
"167",34,1267,3361,2571,8,0.1,0.5,0,16,9,9,9,9,9,83,43,43,100,9,83,83,83,4,9,9,9,100,71
"168",34,1267,3361,2571,8,0.307273434461299,0.5,0,17,9,9,9,9,9,9,9,9,100,100,100,100,100,100,3,9,9,9,6
"169",34,1267,3361,2571,8,0.7,0.5,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,5,100
"170",34,1267,3361,2571,8,1,0.5,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"171",35,2817,901,720,25,0,0.5,1,16,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
"172",35,2817,901,720,25,0.1,0.5,1,16,9,16,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"173",35,2817,901,720,25,0.251388888888889,0.5,1,17,9,9,9,9,9,3,9,9,9,0,0,0,0,0,0,0,0,0,0
"174",35,2817,901,720,25,0.7,0.5,1,19,19,19,4,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",35,2817,901,720,25,1,0.5,1,16,16,16,16,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176",36,3658,3207,1985,40,0,0.5,0,15,27,16,9,9,9,9,9,9,9,14,9,9,9,9,9,9,9,9,9
"177",36,3658,3207,1985,40,0.1,0.5,1,16,24,24,24,4,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0
"178",36,3658,3207,1985,40,0.615617128463476,0.5,1,16,40,40,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179",36,3658,3207,1985,40,0.7,0.5,1,16,16,16,16,16,16,16,16,16,2,9,9,9,0,0,0,0,0,0,0
"180",36,3658,3207,1985,40,1,0.5,1,17,17,17,17,17,17,17,17,17,2,0,0,0,0,0,0,0,0,0,0
"181",37,7480,8714,7833,10,0,0.5,0,15,55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"182",37,7480,8714,7833,10,0.1,0.5,0,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"183",37,7480,8714,7833,10,0.112472871186008,0.5,0,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"184",37,7480,8714,7833,10,0.7,0.5,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"185",37,7480,8714,7833,10,1,0.5,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"186",38,4161,6472,4361,28,0,0.5,0,18,11,66,9,9,76,9,9,32,40,9,40,9,52,41,58,9,9,83,9
"187",38,4161,6472,4361,28,0.1,0.5,0,18,18,18,55,55,6,6,25,25,6,27,32,32,32,32,32,32,32,32,32
"188",38,4161,6472,4361,28,0.484063288236643,0.5,0,13,13,13,13,13,13,100,100,6,6,6,6,6,6,6,6,6,12,100,100
"189",38,4161,6472,4361,28,0.7,0.5,1,17,17,17,17,17,17,17,17,21,100,100,100,4,9,9,9,0,0,0,0
"190",38,4161,6472,4361,28,1,0.5,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
"191",39,1556,4228,3319,32,0,0.5,1,15,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
"192",39,1556,4228,3319,32,0.1,0.5,1,17,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
"193",39,1556,4228,3319,32,0.273877673998192,0.5,1,19,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0
"194",39,1556,4228,3319,32,0.7,0.5,1,17,17,6,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"195",39,1556,4228,3319,32,1,0.5,1,17,17,17,17,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196",40,7906,5450,4326,15,0,0.5,0,15,100,22,90,30,100,47,50,50,9,100,43,9,100,17,100,62,17,58,47
"197",40,7906,5450,4326,15,0.1,0.5,0,15,100,76,52,83,55,9,100,9,9,100,71,83,52,52,66,66,45,62,62
"198",40,7906,5450,4326,15,0.259824318076745,0.5,0,15,100,100,100,4,4,4,100,100,6,6,100,100,100,4,4,4,4,100,100
"199",40,7906,5450,4326,15,0.7,0.5,0,18,18,18,100,100,100,100,100,100,2,2,2,2,2,2,2,2,2,2,2
"200",40,7906,5450,4326,15,1,0.5,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"201",41,8539,11444,7321,40,0,0.5,0,14,76,9,9,58,9,90,9,9,45,66,9,45,10,41,50,45,17,17,40
"202",41,8539,11444,7321,40,0.1,0.5,0,15,62,45,45,6,32,32,32,32,45,45,6,6,6,43,43,27,27,23,83
"203",41,8539,11444,7321,40,0.563174429722715,0.5,1,14,14,14,14,100,100,100,100,3,9,9,0,0,0,0,0,0,0,0,0
"204",41,8539,11444,7321,40,0.7,0.5,1,16,16,16,16,16,100,100,100,100,3,9,9,9,0,0,0,0,0,0,0
