"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts","SumSqDev"
"191",91,1000,0.1,0.2,0,-0.116,0.116,40000,0,0,7021331
"192",92,1000,0.1,0.2,0,0.0069999999999999,0.0069999999999999,35631.375,0.0722495894909688,0,9671497
"193",93,1000,0.1,0.2,0,-0.0655,0.0655,34236.625,0.0746067734164659,0,10050481
"194",94,1000,0.1,0.2,0,-0.321,0.321,33669.640625,0.0654165473804752,0,8436131
"195",95,1000,0.1,0.2,0,-0.031,0.031,33831.4375,0.0923512747875354,0,7316567
"196",96,1000,0.1,0.2,0,-0.0245,0.0245,31146.921875,0.0583069898138391,0,11832588
"197",97,1000,0.1,0.2,1,-0.9895,0.9895,40000,0,0,17890998
"198",98,1000,0.1,0.2,0,-0.329,0.329,32295.953125,0.0842960423343519,0,7128523
"199",99,1000,0.1,0.2,1,-0.9925,0.9925,39994,0.003,0,21180313
"200",100,1000,0.1,0.2,0,-0.2485,0.2485,31148.25,0.0893215111796453,0,8141526
"201",1,1000,0.1,0.8,0,0.522,0.522,33982,0.0790750785041393,0,7895172
"202",2,1000,0.1,0.8,1,-0.957,0.957,39802.5,0.00750750750750751,0,16744148
"203",3,1000,0.1,0.8,0,-0.3975,0.3975,32896.453125,0.0930704552044071,0,11309139
"204",4,1000,0.1,0.8,0,0.000499999999999945,0.000499999999999945,35269.78125,0.0694024725274725,0,5241886
"205",5,1000,0.1,0.8,0,-0.266,0.266,34892.6875,0.0839789706696182,0,8309474
"206",6,1000,0.1,0.8,0,0.0215000000000001,0.0215000000000001,35524.5,0.0531447404559187,0.05,6791615
"207",7,1000,0.1,0.8,0,-0.2825,0.2825,31752.84375,0.0743289224952741,0,7149528
"208",8,1000,0.1,0.8,0,-0.0135,0.0135,33915.625,0.0928571428571429,0,7355039
"209",9,1000,0.1,0.8,0,-0.3105,0.3105,31675.875,0.0742128368150167,0,7373166
"210",10,1000,0.1,0.8,0,0.247,0.247,34887.75,0.067629179331307,0,6173426
"211",11,1000,0.1,0.8,0,0.32,0.32,33846.625,0.0872587968217934,0,7834735
"212",12,1000,0.1,0.8,0,-0.473,0.473,34817.21875,0.0868200836820084,0,8182406
"213",13,1000,0.1,0.8,1,-0.9495,0.9495,39606.75,0.0125502008032129,0,15390276
