"","rep","budget","at","bb","extinct","act_dev","abs_act_dev","fin_yield","max_diff_yield","inac_ts"
"248",48,100,0.4,0.5,0,-0.233,0.233,9672.03125,0.107038480272772,12
"249",49,100,0.4,0.5,1,-0.86,0.86,9937.9375,0.0498281786941581,0
"250",50,100,0.4,0.5,0,0.833,0.833,9231.2265625,0.139749193948413,10
"251",51,100,0.4,0.5,0,0.243,0.243,9469.640625,0.111477210323998,14
"252",52,100,0.4,0.5,1,-0.988,0.988,9995,0.10336595846264,2
"253",53,100,0.4,0.5,0,-0.986,0.986,9994.5,0.128008371119637,2
"254",54,100,0.4,0.5,0,0.073,0.073,9538.3125,0.0764165009940358,10
"255",55,100,0.4,0.5,0,1.229,1.229,9063.03125,0.0939437446975135,12
"256",56,100,0.4,0.5,0,-0.288,0.288,9691.5,0.129369369369369,11
"257",57,100,0.4,0.5,0,1.217,1.217,9086.390625,0.165548970679975,7
"258",58,100,0.4,0.5,0,-0.948,0.948,9977.375,0.0916814159292035,2
"259",59,100,0.4,0.5,1,-0.977,0.977,9990.6875,0.101280834914611,1
"260",60,100,0.4,0.5,1,-0.906,0.906,9958.75,0.0896676737160121,0
"261",61,100,0.4,0.5,0,-0.978,0.978,9989.75,0.103877453326951,2
"262",62,100,0.4,0.5,0,-0.96,0.96,9982,0.0800191662673694,2
"263",63,100,0.4,0.5,1,-0.989,0.989,9995.5,0.100143747005271,2
"264",64,100,0.4,0.5,0,1.371,1.371,9022.921875,0.107690550770034,5
"265",65,100,0.4,0.5,0,0.0940000000000001,0.0940000000000001,9526.5,0.098126389329946,14
"266",66,100,0.4,0.5,0,1.423,1.423,8997.984375,0.0924474879831435,13
"267",67,100,0.4,0.5,1,-0.873,0.873,9942.5,0.0667795789983063,0
"268",68,100,0.4,0.5,0,1.476,1.476,8967.421875,0.0692473990001351,10
"269",69,100,0.4,0.5,0,0.164,0.164,9508.625,0.138333742030407,8
"270",70,100,0.4,0.5,1,-0.854,0.854,9937.25,0.0735454215555824,0
"271",71,100,0.4,0.5,1,-0.97,0.97,9986.375,0.0578793774319066,1
"272",72,100,0.4,0.5,0,-0.66,0.66,9855.0625,0.110579761483056,9
"273",73,100,0.4,0.5,1,-0.989,0.989,9995,0.107243650047037,2
"274",74,100,0.4,0.5,0,-0.872,0.872,9946.4375,0.0838926174496644,3
"275",75,100,0.4,0.5,1,-0.847,0.847,9933.25,0.0662534601035022,0
"276",76,100,0.4,0.5,1,-0.988,0.988,9994.5,0.0914923954372624,1
"277",77,100,0.4,0.5,0,1.575,1.575,8931.955078125,0.110590988882387,5
"278",78,100,0.4,0.5,0,-0.897,0.897,9954.9375,0.0794573643410853,3
"279",79,100,0.4,0.5,0,-0.458,0.458,9770.34375,0.145655228949526,9
"280",80,100,0.4,0.5,0,0.52,0.52,9363.53125,0.155769707486366,11
"281",81,100,0.4,0.5,0,1.539,1.539,8944.515625,0.136354912998976,5
"282",82,100,0.4,0.5,1,-0.986,0.986,9994.125,0.102021403091558,1
"283",83,100,0.4,0.5,1,-0.986,0.986,9994.5625,0.0866071428571429,1
"284",84,100,0.4,0.5,0,1.323,1.323,9046.3671875,0.172822560519092,8
"285",85,100,0.4,0.5,0,-0.985,0.985,9993.5,0.106282475200756,2
"286",86,100,0.4,0.5,0,-0.219,0.219,9661.625,0.0813140144891332,17
"287",87,100,0.4,0.5,1,-0.987,0.987,9994.625,0.0744274809160305,1
"288",88,100,0.4,0.5,1,-0.981,0.981,9991.25,0.0861986628462273,1
"289",89,100,0.4,0.5,0,-0.209,0.209,9660.6875,0.0933439568521696,10
"290",90,100,0.4,0.5,0,1.697,1.697,8878.171875,0.102649566865187,4
"291",91,100,0.4,0.5,0,-0.985,0.985,9994.25,0.134839310666046,2
"292",92,100,0.4,0.5,0,1.266,1.266,9059.09765625,0.16379023571157,6
"293",93,100,0.4,0.5,1,-0.985,0.985,9993.25,0.132676980778247,2
"294",94,100,0.4,0.5,0,0.922,0.922,9194.75,0.125576331967213,7
"295",95,100,0.4,0.5,0,0.262,0.262,9469.015625,0.113882476878031,9
"296",96,100,0.4,0.5,0,-0.876,0.876,9947.6875,0.0934816785584714,1
"297",97,100,0.4,0.5,0,1.515,1.515,8958.671875,0.129576476591402,5
"298",98,100,0.4,0.5,0,-0.485,0.485,9777.625,0.124097859327217,10
"299",99,100,0.4,0.5,0,1.398,1.398,8993,0.0784353059177533,5
"300",100,100,0.4,0.5,0,-0.993,0.993,9997,0.0951923076923077,3
"301",1,100,0.4,1,1,-0.983,0.983,9991.5,0.0635305528612997,1
"302",2,100,0.4,1,1,-0.875,0.875,9944.75,0.108915549282522,0
"303",3,100,0.4,1,0,-0.976,0.976,9989.625,0.0764790764790765,3
"304",4,100,0.4,1,0,-0.987,0.987,9994.5,0.115982370679657,2
"305",5,100,0.4,1,0,-0.535,0.535,9798.4375,0.0817525394688533,12
"306",6,100,0.4,1,0,-0.848,0.848,9932.9375,0.132784958871915,5
"307",7,100,0.4,1,0,1.508,1.508,8960.3203125,0.11958282049621,4
"308",8,100,0.4,1,0,1.618,1.618,8909.078125,0.0584310006097148,5
"309",9,100,0.4,1,1,-0.854,0.854,9935.875,0.0762356046065259,0
"310",10,100,0.4,1,0,-0.99,0.99,9995,0.0688824662813102,1
"311",11,100,0.4,1,0,-0.832,0.832,9926.6875,0.0653339834227206,4
"312",12,100,0.4,1,0,-0.989,0.989,9995,0.0689990281827016,1
"313",13,100,0.4,1,0,1.658,1.658,8901.796875,0.0584610146407899,4
"314",14,100,0.4,1,0,-0.672,0.672,9857.8125,0.183478860294118,6
"315",15,100,0.4,1,0,1.369,1.369,9028.5,0.188028657997728,8
"316",16,100,0.4,1,0,-0.5,0.5,9782.75,0.123996694995279,9
"317",17,100,0.4,1,1,-0.866,0.866,9939.75,0.0802257114818449,0
"318",18,100,0.4,1,1,-0.988,0.988,9994.5,0.0979284369114878,1
"319",19,100,0.4,1,0,1.582,1.582,8934.0625,0.128916248177547,5
"320",20,100,0.4,1,1,-0.84,0.84,9929.375,0.16540930075442,0
"321",21,100,0.4,1,1,-0.989,0.989,9995.5,0.127669452181987,1
"322",22,100,0.4,1,0,-0.979,0.979,9991,0.0749578211617257,2
"323",23,100,0.4,1,0,-0.901,0.901,9956.875,0.0943755958055291,2
"324",24,100,0.4,1,1,-0.985,0.985,9993.5,0.0726786582401556,1
"325",25,100,0.4,1,1,-0.987,0.987,9994.375,0.056918547595682,1
"326",26,100,0.4,1,0,-0.974,0.974,9988.875,0.0993504931440943,3
"327",27,100,0.4,1,0,-0.969,0.969,9985.5,0.0596285434995112,3
"328",28,100,0.4,1,0,-0.959,0.959,9982.875,0.108943862987631,2
"329",29,100,0.4,1,0,-0.986,0.986,9994.25,0.0837702573879886,2
"330",30,100,0.4,1,1,-0.988,0.988,9995.375,0.074199806013579,2
"331",31,100,0.4,1,0,-0.985,0.985,9993.375,0.0812256809338521,1
"332",32,100,0.4,1,0,1.231,1.231,9063.546875,0.108845338983051,7
"333",33,100,0.4,1,0,-0.966,0.966,9985.375,0.0922930542340628,3
"334",34,100,0.4,1,0,0.742,0.742,9268.28125,0.130168935955623,9
"335",35,100,0.4,1,1,-0.981,0.981,9991.5,0.0879120879120879,1
"336",36,100,0.4,1,0,-0.985,0.985,9993.5,0.0989382239382239,2
"337",37,100,0.4,1,0,0.146,0.146,9514.3125,0.084975603573918,7
"338",38,100,0.4,1,0,-0.901,0.901,9956.4375,0.0743440233236152,3
"339",39,100,0.4,1,1,-0.898,0.898,9956.3125,0.0964777039848197,0
"340",40,100,0.4,1,1,-0.986,0.986,9993.25,0.101784852870236,2
"341",41,100,0.4,1,1,-0.901,0.901,9957,0.0808459214501511,0
"342",42,100,0.4,1,1,-0.987,0.987,9994,0.115739644970414,2
