"","rep","scar","at","bb","extinct","act_dev","final yield","max_diff_yield","inac_ts"
"394",94,0,0.1,0.2,0,0.018,9557.375,0.1,4
"395",95,0,0.1,0.2,0,0.609,9311.3125,0.1,3
"396",96,0,0.1,0.2,0,0.052,9545.40625,0.1,4
"397",97,0,0.1,0.2,0,-0.989,9995.125,0.1,1
"398",98,0,0.1,0.2,0,-0.113,9613.625,0.1,3
"399",99,0,0.1,0.2,0,-0.217,9660.53125,0.1,5
"400",100,0,0.1,0.2,0,-0.295,9695.53125,0.1,5
"401",1,0,0.1,0.3,0,-0.354,9720.5625,0.1,5
"402",2,0,0.1,0.3,0,-0.149,9636.90625,0.1,7
"403",3,0,0.1,0.3,0,-0.174,9639.515625,0.1,3
"404",4,0,0.1,0.3,0,1.277,9073.67578125,0.1,2
"405",5,0,0.1,0.3,0,-0.106,9613.8125,0.1,2
"406",6,0,0.1,0.3,0,-0.049,9586.34375,0.1,7
"407",7,0,0.1,0.3,0,-0.206,9654.625,0.1,2
"408",8,0,0.1,0.3,0,-0.107,9611.8125,0.1,7
"409",9,0,0.1,0.3,0,0.438,9394.703125,0.1,3
"410",10,0,0.1,0.3,0,0.0840000000000001,9538.46875,0.1,4
"411",11,0,0.1,0.3,0,1.095,9121.09375,0.2,5
"412",12,0,0.1,0.3,0,-0.0669999999999999,9604.4375,0.1,6
"413",13,0,0.1,0.3,0,-0.166,9639.96875,0.1,5
"414",14,0,0.1,0.3,0,-0.201,9651.125,0.1,8
"415",15,0,0.1,0.3,0,0.118,9517.1875,0.1,4
"416",16,0,0.1,0.3,0,-0.392,9736.625,0.1,7
"417",17,0,0.1,0.3,0,-0.764,9897.75,0.1,3
"418",18,0,0.1,0.3,0,1.225,9071.90625,0.2,3
"419",19,0,0.1,0.3,0,-0.153,9633.25,0.1,2
"420",20,0,0.1,0.3,0,-0.505,9784.5,0.1,2
"421",21,0,0.1,0.3,0,0.0469999999999999,9549.75,0.1,4
"422",22,0,0.1,0.3,1,-0.989,9995.625,0.1,0
"423",23,0,0.1,0.3,0,1.222,9076,0.2,2
"424",24,0,0.1,0.3,0,-0.424,9750.9375,0.1,3
"425",25,0,0.1,0.3,0,0.324,9436.546875,0.1,2
"426",26,0,0.1,0.3,0,-0.0629999999999999,9595.90625,0.1,6
"427",27,0,0.1,0.3,0,0.591,9337.21875,0.1,1
